Event,Start time,End time,Priority,Classification
MALWARE-TOOLS slowhttptest DoS tool,06/12-03:55:13.771022,06/12-03:56:08.750218,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-03:56:13.753017,06/12-03:56:38.750084,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-03:55:15.706140,06/12-03:55:16.573629,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-03:55:17.521112,06/12-03:55:16.533391,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-03:55:15.565121,06/12-03:55:16.129519,2,Attempted Denial of Service
MALWARE-CNC Win.Dropper.Agent ransomware downloader outbound connection detected,06/12-04:17:12.336951,06/12-04:17:12.336951,1,A Network Trojan was Detected
MALWARE-CNC Win.Dropper.Agent ransomware downloader outbound connection detected,06/12-04:52:13.442657,06/12-04:52:13.442657,1,A Network Trojan was Detected
MALWARE-TOOLS slowhttptest DoS tool,06/12-03:55:17.561405,06/12-03:55:17.561405,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-03:55:16.472764,06/12-05:04:16.488639,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-05:03:51.488803,06/12-05:04:46.488683,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-05:04:21.488663,06/12-05:05:31.488861,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-06:00:49.446220,06/12-06:01:01.331908,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-06:03:16.115763,06/12-06:07:18.711016,2,Attempted Denial of Service
MALWARE-CNC Win.Dropper.Agent ransomware downloader outbound connection detected,06/12-08:52:16.892777,06/12-08:52:16.892777,1,A Network Trojan was Detected
MALWARE-TOOLS slowhttptest DoS tool,06/12-09:03:49.446220,06/12-09:10:18.711016,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-11:15:13.771022,06/12-11:15:16.129519,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-12:05:13.771022,06/12-12:11:15.363636,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-12:11:15.726213,06/12-11:15:18.710728,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-12:05:17.561405,06/12-12:05:18.710728,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-12:11:17.561405,06/12-12:11:17.561405,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-12:11:16.472764,06/12-12:11:18.710728,2,Attempted Denial of Service
MALWARE-CNC Win.Dropper.Agent ransomware downloader outbound connection detected,06/12-13:56:54.901071,06/12-13:56:54.901071,1,A Network Trojan was Detected
MALWARE-TOOLS slowhttptest DoS tool,06/12-14:03:36.508011,06/12-14:03:45.734657,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-14:08:36.488705,06/12-14:09:31.488861,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-14:30:49.446220,06/12-14:33:46.101178,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-14:33:51.098530,06/12-14:34:27.703225,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-14:34:12.467906,06/12-14:37:18.711016,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-18:50:49.446220,06/12-18:51:01.331908,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-18:53:16.115763,06/12-18:54:42.452710,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-18:54:47.451282,06/12-18:55:26.119171,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-18:55:31.117012,06/12-18:56:35.256091,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-18:56:13.292269,06/12-18:57:18.711016,2,Attempted Denial of Service
MALWARE-CNC Win.Dropper.Agent ransomware downloader outbound connection detected,06/12-19:23:12.686620,06/12-19:23:12.686620,1,A Network Trojan was Detected
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:16:49.446220,06/12-20:16:49.446220,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:16:54.485274,06/12-20:16:54.485274,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:17:00.085098,06/12-20:17:19.423617,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:17:24.422076,06/12-20:17:24.422076,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:17:29.421358,06/12-20:16:54.485385,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:16:54.525517,06/12-20:16:54.525577,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:16:54.505444,06/12-20:16:54.505444,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:16:55.492811,06/12-20:16:54.545823,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:16:55.472974,06/12-20:16:56.700736,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:16:56.820659,06/12-20:16:56.056897,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:17:01.211870,06/12-20:17:01.315882,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:17:01.331908,06/12-20:17:01.331908,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:19:16.115763,06/12-20:19:16.115763,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:19:21.207928,06/12-20:19:21.207928,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:19:26.171645,06/12-20:19:26.171645,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:19:31.345079,06/12-20:19:31.345079,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:19:16.305443,06/12-20:19:16.115840,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:19:16.545811,06/12-20:19:16.533160,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:19:16.596553,06/12-20:19:16.558453,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:19:16.672402,06/12-20:19:16.609198,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:19:41.100094,06/12-20:19:17.241713,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:19:17.089957,06/12-20:19:17.279802,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:19:17.203756,06/12-20:19:17.140515,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:19:17.456903,06/12-20:19:17.558227,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:19:17.621457,06/12-20:19:17.583533,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:19:17.950394,06/12-20:19:17.861905,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:19:26.291141,06/12-20:19:46.101178,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:19:51.098530,06/12-20:19:51.098530,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:19:56.099645,06/12-20:19:56.099645,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:19:18.076954,06/12-20:19:21.255594,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:19:21.267610,06/12-20:19:21.267610,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:19:21.283471,06/12-20:19:21.283471,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:19:21.307567,06/12-20:19:21.319540,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:19:21.355520,06/12-20:19:25.587106,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:19:26.211152,06/12-20:19:26.251051,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:20:12.467811,06/12-20:20:12.467811,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:20:17.634572,06/12-20:20:17.634572,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:20:27.703225,06/12-20:20:27.703225,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:20:12.467906,06/12-20:20:13.708350,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:20:13.733860,06/12-20:20:13.898136,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:20:13.961469,06/12-20:20:13.923417,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:20:13.974091,06/12-20:20:13.999383,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:20:14.024601,06/12-20:20:14.024601,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:20:14.049905,06/12-20:20:37.452304,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:20:14.087819,06/12-20:20:14.062549,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:20:14.151001,06/12-20:20:14.328665,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:20:16.632385,06/12-20:20:42.452710,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:20:47.451282,06/12-20:20:47.451282,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:20:52.451622,06/12-20:20:52.451622,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:20:14.632223,06/12-20:20:15.506506,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:20:16.616613,06/12-20:20:15.607991,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:21:16.131613,06/12-20:21:16.131613,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:21:21.742221,06/12-20:21:21.742221,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:21:26.119171,06/12-20:21:26.119171,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:21:31.117012,06/12-20:21:31.117012,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:21:36.118187,06/12-20:21:16.686664,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:22:05.276487,06/12-20:22:05.276487,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:22:05.276573,06/12-20:22:06.527582,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:22:06.588111,06/12-20:22:06.568040,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:22:06.749767,06/12-20:22:06.790048,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:22:07.072574,06/12-20:22:07.153186,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:22:33.256414,06/12-20:22:07.799711,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:22:12.120165,06/12-20:22:35.256091,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:22:13.292269,06/12-20:22:13.292269,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:22:40.252473,06/12-20:22:40.252473,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:22:08.405232,06/12-20:22:08.445554,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:22:08.991203,06/12-20:22:09.071860,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:22:09.152644,06/12-20:22:09.960500,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:22:10.041297,06/12-20:22:10.969877,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:22:10.990140,06/12-20:22:48.254787,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:22:11.010399,06/12-20:22:11.010399,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:22:11.030496,06/12-20:22:11.131528,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:22:12.039603,06/12-20:22:12.281900,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:22:13.231573,06/12-20:22:13.271924,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:22:20.886473,06/12-20:22:55.251931,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:23:00.250248,06/12-20:23:00.250248,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:23:05.251120,06/12-20:23:05.251120,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:22:26.781317,06/12-20:22:27.724757,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:22:14.463830,06/12-20:22:27.836807,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:22:27.868768,06/12-20:22:27.868768,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:22:16.658887,06/12-20:22:27.900758,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:22:27.916743,06/12-20:22:16.858646,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:22:09.253534,06/12-20:22:40.507523,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:22:40.603544,06/12-20:22:40.603544,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:22:40.635570,06/12-20:22:40.635570,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:22:40.699629,06/12-20:22:40.891425,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:22:41.339551,06/12-20:22:41.339551,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:22:41.339610,06/12-20:23:15.248353,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:23:20.247926,06/12-20:23:20.247926,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:23:25.248449,06/12-20:23:25.248449,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:23:30.246578,06/12-20:23:30.246578,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:23:35.246591,06/12-20:23:35.246591,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:23:16.407267,06/12-20:23:17.943069,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:23:18.006995,06/12-20:23:18.198955,2,Attempted Denial of Service
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:23:18.198918,06/12-20:23:18.711016,2,Attempted Denial of Service
MALWARE-CNC Win.Dropper.Agent ransomware downloader outbound connection detected,06/12-23:18:32.211463,06/12-23:18:32.211463,1,A Network Trojan was Detected
PUA-ADWARE Win.Trojan.InstantAccess variant outbound connection,06/12-23:23:28.513347,06/12-23:23:28.513347,3,Misc activity
PUA-ADWARE Win.Trojan.InstantAccess variant outbound connection,06/13-02:54:04.889394,06/13-02:54:04.889394,3,Misc activity
